Janelia_ID,Line,CGID,Gene,Flybase_ID,Flybase_Link,Expressed,Eve_Expression,Seq_coord_of_fragment,Fragment_length,Transmembrane_Domain,Signal_Domain,Interpro_Description_GO_Term_Name,Functional_Group,SMART_ID,PFAM_ID,aCC,RP2,Us,Pcc,Els,
GMR10B09,R10B09,CG3665,Fas2,FBgn0000635,http://flybase.org/reports/FBgn0000635.htm,"CNS small subset, EVE lateral cells, Head, Midline, Other: bodywall",Lateral cells,X:4109103..4110778,1675,TMhelix,SignalP-noTM,"GO:0001746~Bolwig's organ morphogenesis,GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007411~axon guidance,GO:0007413~axonal fasciculation,GO:0007528~neuromuscular junction development,GO:0007611~learning or memory,GO:0007614~short-term memory,GO:0008038~neuron recognition,GO:0008045~motor neuron axon guidance,GO:0008355~olfactory learning,GO:0008582~regulation of synaptic assembly at neuromuscular junction,GO:0009653~anatomical structure morphogenesis,GO:0016319~mushroom body development,GO:0030154~cell differentiation,GO:0035158~regulation of tube diameter, open tracheal system,GO:0035159~regulation of tube length, open tracheal system,GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway,GO:0048149~behavioral response to ethanol,GO:0048167~regulation of synaptic plasticity,GO:0048667~cell morphogenesis involved in neuron differentiation,GO:0048803~imaginal disc-derived male genitalia morphogenesis,GO:0050803~regulation of synapse structure or activity,GO:0050808~synapse organization,GO:0070593~dendrite self-avoidance,GO:0072499~photoreceptor cell axon guidance,GO:0072553~terminal button organization,GO:1904059~regulation of locomotor rhythm,GO:1904800~negative regulation of neuron remodeling,,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016324~apical plasma membrane,GO:0030424~axon,GO:0030426~growth cone,GO:0031256~leading edge membrane,GO:0031594~neuromuscular junction,GO:0036062~presynaptic periactive zone,GO:0042734~presynaptic membrane,GO:0042995~cell projection,GO:0043005~neuron projection,GO:0045211~postsynaptic membrane,GO:0048786~presynaptic active zone,GO:0061174~type I terminal bouton,GO:0097482~muscle cell postsynaptic specialization,GO:0098552~side of membrane,,GO:0003723~RNA binding,GO:0003725~double-stranded RNA binding,GO:0003726~double-stranded RNA adenosine deaminase activity,GO:0004000~adenosine deaminase activity,GO:0008251~tRNA-specific adenosine deaminase activity,GO:0035197~siRNA binding,GO:0046872~metal ion binding,",Axon Guidance and Synapse,"SM00060:FN3,SM00408:IGc2,SM00409:IG,","PF00041:fn3,PF07679:I-set,PF13927:Ig_3,",?,?,?,?,yes,
GMR10F03,R10F03,CG1063,Itpr,FBgn0010051,http://flybase.org/reports/FBgn0010051.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Scattered",Lateral cells,3R:1334910..1337675,2765,TMhelix,,"GO:0000280~nuclear division,GO:0006816~calcium ion transport,GO:0006874~intracellular calcium ion homeostasis,GO:0006979~response to oxidative stress,GO:0007200~phospholipase C-activating G protein-coupled receptor signaling pathway,GO:0007591~molting cycle, chitin-based cuticle,GO:0007601~visual perception,GO:0007608~sensory perception of smell,GO:0007629~flight behavior,GO:0009267~cellular response to starvation,GO:0010888~negative regulation of lipid storage,GO:0016319~mushroom body development,GO:0030322~stabilization of membrane potential,GO:0030536~larval feeding behavior,GO:0042594~response to starvation,GO:0046000~positive regulation of ecdysteroid secretion,GO:0048102~autophagic cell death,GO:0050909~sensory perception of taste,GO:0051209~release of sequestered calcium ion into cytosol,GO:0055088~lipid homeostasis,GO:0055089~fatty acid homeostasis,GO:0060259~regulation of feeding behavior,GO:0070588~calcium ion transmembrane transport,GO:0071361~cellular response to ethanol,,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005790~smooth endoplasmic reticulum,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016529~sarcoplasmic reticulum,GO:0030667~secretory granule membrane,GO:0044295~axonal growth cone,,GO:0005219~ryanodine-sensitive calcium-release channel activity,GO:0005262~calcium channel activity,GO:0015279~store-operated calcium channel activity,",None,"SM00472:MIR,","PF00520:Ion_trans,PF01365:RYDR_ITPR,PF02815:MIR,PF08454:RIH_assoc,PF08709:Ins145_P3_rec,",?,no,no,no,?,
GMR11G04,R11G04,CG10047,Syt4,FBgn0028400,http://flybase.org/reports/FBgn0028400.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal, Scattered",Lateral cells,3R:3084902..3088809,3907,TMhelix,,"GO:0006906~vesicle fusion,GO:0007269~neurotransmitter secretion,GO:0014059~regulation of dopamine secretion,GO:0016079~synaptic vesicle exocytosis,GO:0016192~vesicle-mediated transport,GO:0017158~regulation of calcium ion-dependent exocytosis,GO:0031340~positive regulation of vesicle fusion,GO:0046928~regulation of neurotransmitter secretion,GO:0048167~regulation of synaptic plasticity,GO:0048791~calcium ion-regulated exocytosis of neurotransmitter,GO:0071277~cellular response to calcium ion,,GO:0005886~plasma membrane,GO:0008021~synaptic vesicle,GO:0016020~membrane,GO:0016324~apical plasma membrane,GO:0030424~axon,GO:0031594~neuromuscular junction,GO:0031982~vesicle,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0070382~exocytic vesicle,,GO:0005515~protein binding,GO:0098632~cell-cell adhesion mediator activity,",Synapse,"SM00239:C2,","PF00168:C2,",no,no,no,no,?,
GMR13G08,R13G08,CG10844,RyR,FBgn0011286,http://flybase.org/reports/FBgn0011286.htm,"CNS small subset, EVE lateral cells, Head, Other: gut/internal",Lateral cells,2R:4762530..4762886,356,TMhelix,,"GO:0006816~calcium ion transport,GO:0006874~intracellular calcium ion homeostasis,GO:0006936~muscle contraction,GO:0006941~striated muscle contraction,GO:0014808~release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0035206~regulation of hemocyte proliferation,GO:0051209~release of sequestered calcium ion into cytosol,GO:0060047~heart contraction,GO:0070588~calcium ion transmembrane transport,GO:0072347~response to anesthetic,,GO:0005790~smooth endoplasmic reticulum,GO:0016020~membrane,GO:0030018~Z disc,GO:0033017~sarcoplasmic reticulum membrane,GO:0034704~calcium channel complex,GO:0042383~sarcolemma,,GO:0005248~voltage-gated sodium channel activity,GO:0005261~monoatomic cation channel activity,GO:0005272~sodium channel activity,GO:0005509~calcium ion binding,",None,"SM00449:SPRY,SM00472:MIR,","PF00520:Ion_trans,PF00622:SPRY,PF01365:RYDR_ITPR,PF02026:RyR,PF02815:MIR,PF06459:RR_TM4-6,PF08454:RIH_assoc,PF08709:Ins145_P3_rec,PF21119:RYDR_Jsol,",?,?,no,no,?,
GMR14A01,R14A01,CG17248,nSyb,FBgn0013342,http://flybase.org/reports/FBgn0013342.htm,"EVE lateral cells, Head, Poor stain, Scattered",Lateral cells,3L:1635981..1636845,864,TMhelix,,"GO:0006906~vesicle fusion,GO:0007269~neurotransmitter secretion,GO:0016079~synaptic vesicle exocytosis,GO:0016081~synaptic vesicle docking,GO:0016192~vesicle-mediated transport,GO:0031340~positive regulation of vesicle fusion,GO:0035493~SNARE complex assembly,GO:0099536~synaptic signaling,,GO:0005886~plasma membrane,GO:0008021~synaptic vesicle,GO:0016020~membrane,GO:0030672~synaptic vesicle membrane,GO:0031201~SNARE complex,GO:0031901~early endosome membrane,GO:0043195~terminal bouton,GO:0045202~synapse,GO:0048786~presynaptic active zone,,GO:0005220~inositol 1,4,5-trisphosphate-gated calcium channel activity,GO:0005509~calcium ion binding,GO:0035091~phosphatidylinositol binding,GO:0070679~inositol 1,4,5 trisphosphate binding,",Synapse,,"PF00957:Synaptobrevin,",?,no,no,no,?,
GMR15B11,R15B11,CG1615,Ork1,FBgn0017561,http://flybase.org/reports/FBgn0017561.htm,"CNS small subset, EVE lateral cells, Head, Poor stain",Lateral cells,X:10776528..10780085,3557,TMhelix,,"GO:0002027~regulation of heart rate,GO:0030322~stabilization of membrane potential,GO:0045475~locomotor rhythm,GO:0071805~potassium ion transmembrane transport,,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0034705~potassium channel complex,,GO:0004467~long-chain fatty acid-CoA ligase activity,GO:0090433~palmitoyl-CoA ligase activity,",None,,"PF07885:Ion_trans_2,",yes,no,yes,no,no,
GMR17G03,R17G03,CG13579,CG13579,FBgn0035010,http://flybase.org/reports/FBgn0035010.htm,"CNS small subset, EVE lateral cells, Midline, Poor stain",Lateral cells,2R:20375581..20376299,718,TMhelix,,"GO:0007186~G protein-coupled receptor signaling pathway,GO:0007218~neuropeptide signaling pathway,,GO:0005886~plasma membrane,GO:0016020~membrane,,GO:0005102~signaling receptor binding,GO:0005109~frizzled binding,GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0005539~glycosaminoglycan binding,GO:0016015~morphogen activity,GO:0043395~heparan sulfate proteoglycan binding,GO:0048018~receptor ligand activity,GO:0050840~extracellular matrix binding,",None,,"PF00001:7tm_1,",no,no,no,no,no,
GMR18A04,R18A04,CG12370,Dh44-R2,FBgn0033744,http://flybase.org/reports/FBgn0033744.htm,"CNS deep layer, CNS small subset, EVE lateral cells, Head",Lateral cells,2R:8367428..8368697,1269,TMhelix,,"GO:0007166~cell surface receptor signaling pathway,GO:0007186~G protein-coupled receptor signaling pathway,GO:0007188~adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0009651~response to salt stress,GO:0009755~hormone-mediated signaling pathway,,GO:0005886~plasma membrane,GO:0016020~membrane,,GO:0004930~G protein-coupled receptor activity,GO:0004997~thyrotropin-releasing hormone receptor activity,GO:0008188~neuropeptide receptor activity,GO:0008227~G protein-coupled amine receptor activity,GO:0008528~G protein-coupled peptide receptor activity,GO:0042654~ecdysis-triggering hormone receptor activity,",None,"SM00008:HormR,","PF00002:7tm_2,PF02793:HRM,",?,no,no,no,no,
GMR18F11,R18F11,CG12414,nAChRα4,FBgn0266347,http://flybase.org/reports/FBgn0266347.htm,"CNS small subset, EVE lateral cells, Head",Lateral cells,3L:23236145..23239066,2921,TMhelix,,"GO:0007268~chemical synaptic transmission,GO:0007271~synaptic transmission, cholinergic,GO:0030431~sleep,GO:0034220~monoatomic ion transmembrane transport,GO:0042391~regulation of membrane potential,,GO:0005886~plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0016020~membrane,GO:0043005~neuron projection,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0098794~postsynapse,,GO:0004888~transmembrane signaling receptor activity,GO:0005231~excitatory extracellular ligand-gated monoatomic ion channel activity,GO:0022848~acetylcholine-gated monoatomic cation-selective channel activity,GO:1904315~transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,",Synapse,,"PF02931:Neur_chan_LBD,PF02932:Neur_chan_memb,",?,no,?,no,?,
GMR20A10,R20A10,CG5911,ETHR,FBgn0038874,http://flybase.org/reports/FBgn0038874.htm,"EVE lateral cells, Other: bodywall, Other: gut/internal, Scattered",Lateral cells,3R:17085583..17087567,1984,TMhelix,,"GO:0007186~G protein-coupled receptor signaling pathway,,GO:0005886~plasma membrane,GO:0016020~membrane,,GO:0005154~epidermal growth factor receptor binding,GO:0042802~identical protein binding,GO:0048019~receptor antagonist activity,",None,"SM01381:7TM_GPCR_Srsx,","PF00001:7tm_1,",?,?,no,?,?,
